
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2026-04-07 09:47:06
,"Almacen(es) :,'PRINCIPAL-CORPAC','Otros Alm.Lima'<FONT color='Red'><a href='#MSG_SURQ_LISTA' style='text-decoration:none' class='especial'>(*)</a></FONT>"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.440"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 14XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA
"cpu ci7 14xxx s1700","cpili714700kf","procesador intel core i7-14700kf 3.40/5.60ghz, 33mb intel smart cach�, lga1700, 125w/",12,350.00, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI9 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci9 12xxx s1700","cpili912900kf","procesador intel core i9-12900kf 3.20 / 5.10ghz, 30mb cach� l3, lga1700, 125w, 10 nm.",13,389.00, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 5XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 5xxx","cpam4r55500","procesador amd ryzen 5 5500, 3.60 / 4.20 ghz, 16mb l3 cache, 6-cores, am4, 7nm, 65w.[",>20,90.15, ,"","P","amd-advanced micro device"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","MB SOCKET AM4 AMD","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mb socket am4 amd","mbara520m-hdv","motherboard asrock a520m-hdv, chipset amd a520, socket amd am4, matx[@@@]soporta proc",>20,46.65, ,"","P","asrock"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","MB SOCKET AM4 AMD GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mb socket am4 amd gaming","mbarb550pg4ac","motherboard asrock b550 phantom gaming 4/ac, chipset amd b550, socket amd am4, atx[@@",>20,79.50, ,"","P","asrock"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","MB SOCKET AM5 AMD","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mb socket am5 amd","mbarb850mxwfr20","motherboard asrock b850m-x wifi r2.0, chipset amdb850, socket amd am5, matx[@@@]sopor",>20,114.50, ,"","P","asrock"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","MEM DDR4 3200 PC4-25600","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mem ddr4 3200 pc4-25600","me16xp320sgambk","memoria adata xpg gammix d20 16gb ddr4-3200mhz pc4-25600, cl16, 1.35v, 288-pines[@@@]",>20,127.00, ,"","P","a-data"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","MEM DDR4 3200 PC4-25600","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mem ddr4 3200 pc4-25600","me16tet32un4c16","mem ram 16g te tit 3.20ghz dr4",>20,114.00, ,"","P","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","MEM DDR5 5600 PC5-44800","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"mem ddr5 5600 pc5-44800","me16tfv5600hc36","memoria teamgroup t-force vulcan ddr5 16gb ddr5-5600 mhz, cl36, 1.2v[@@@]",>20,231.86, ,"","P","teamgroup"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO 3.5 SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro 3.5 sata","hdist8000dm004","disco duro seagate barracuda st8000dm004, 8tb, sata 6.0 gb/s, 5400 rpm, 3.5.[@@@]",>20,221.00, ,"","F","seagate"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","SSD 2.5 SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"ssd 2.5 sata","ssd2tbwm100","disco solido ssd biwin m100 2 tb sata iii 2.5, 550 mb/s 500 mb/s[@@@]optimiza tu alm",6,170.00, ,"","P","biwin"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","SSD M.2 NVMe","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"ssd m.2 nvme","ssdwds400t4x0e","unidad ssd western digital wd_black sn7100 nvme -4 tb[@@@]con el ssd nvme wd_black sn",10,486.00, ,"","S","sandisk"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","VIDEO, PCI EXP RADEON GAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"video, pci exp radeon gam","vd16arrx907xtsd","tarjeta de video amd radeon rx 9070 xt steel legend dark 16gb, 16 gb gddr6, pci-e 5.0",10,767.00, ,"","P","asrock"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","VIDEO, PCI EXP NVIDIA GAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"video, pci exp nvidia gam","vd6gasrtx3050do","tarjeta de video asus dual geforce rtx 3050 oc edition 6gb gddr6, pci-e 4.0[@@@]puert",5,216.00, ,"","P","asus"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","VIDEO, PCI EXP NVIDIA GAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"video, pci exp nvidia gam","vd8ggbrtx506tem","tarjeta de video gigabyte geforce rtx 5060 ti eagle max oc 8g, 8 gb gddr7, pcie 5.0[@",9,478.00, ,"","P","gigabyte"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psarpg-1000g","fuente de alimentaci�n asrock pg-1000g, 1000w, atx, 80 plus gold.[@@@]1 conector atx ",7,139.00, ,"","P","asrock"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psasap-750g","fuente de alimentaci�n asus ap-750g gold, 80 plus, 750 w, formato atx.[@@@]con soport",>20,81.00, ,"","P","asus"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psgbp550ssice","fuente de alimentaci�n gigabyte p550ss ice , 550w, 80 plus silver, formato atx.[@@@]",>20,34.00, ,"","P","gigabyte"

"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases sin fuente p/gamers","csasa31pwtargb","case asus a31 plus case white[@@@]motherboard - factor de forma soportados: mini-itx,",>20,74.80, ,"","F","asus"
"cases sin fuente p/gamers","csasa31pbkargb","case asus a31 plus case black[@@@]motherboard - factor de forma soportados: mini-itx,",>20,74.70, ,"","F","asus"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES ATX VER2.0 S/FUENTE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases atx ver2.0 s/fuente","csm45bkte1319g","case gamer teros te-1319g, mid tower, 450w, usb 3.0 / 2.0, audio, negro[@@@]el case g",>20,30.80, ,"","D","teros"
