categoria,subcategoria,categoria_proveedor,codigo_proveedor,marca,nombre,descripcion_general,stock,disponible_a_pedido,precio_base,garantia,flete,socket,cpu_nucleos,cpu_hilos,cpu_frecuencia_base_ghz,cpu_frecuencia_boost_ghz,cpu_tdp_w,cpu_graficos_integrados,mb_chipset,mb_form_factor,mb_ram_tipo,mb_max_ram_gb,mb_m2_slots,mb_pcie_version,ram_tipo,ram_capacidad_gb,ram_velocidad_mhz,ram_cantidad_modulos,storage_tipo,storage_capacidad_gb,storage_interfaz,storage_form_factor,storage_nvme_gen,gpu_chipset,gpu_vram_gb,gpu_vram_tipo,gpu_tdp_w,gpu_longitud_mm,psu_wattage,psu_certificacion,psu_modular,psu_form_factor,case_form_factor,case_color,case_max_gpu_mm,case_compatibilidad_placa
almacenamiento,,ssd 2.5 sata,ssdacbl9bwwa102,acer,"unidad de estado solido acer sa100, 240gb, 2.5&#8243;, sata lll (6gb/s)",,4,false,47,,,,,,,,,,,,,,,,,,,,ssd_sata,240,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssdacbl9bwwa103,acer,"unidad de estado solido acer sa100, 480gb, 2.5&#8243;, sata lll (6gb/s)",,21,false,80,,,,,,,,,,,,,,,,,,,,ssd_sata,480,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd m.2 nvme,ssdacbl9bwwa119,acer,unidad en estado solido (ssd) acer fa100 m.2 pcienvme,,2,false,85,,,,,,,,,,,,,,,,,,,,ssd_nvme,,NVME,M.2,,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssd2tbwm100,biwin,"disco solido ssd biwin m100 2 tb sata iii 2.5, 550 mb/s 500 mb/s",,6,false,170,,,,,,,,,,,,,,,,,,,,ssd_sata,2048,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssd256gbwm100,biwin,"unidad en estado solido (ssd) biwin m100, 256gb, sata iii (6.0gb/s), 2.5",,21,false,48,,,,,,,,,,,,,,,,,,,,ssd_sata,256,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssd512gbwm100,biwin,"unidad en estado solido biwin m100, 512gb, sata 6gb/s, 2.5",,21,false,75,,,,,,,,,,,,,,,,,,,,ssd_sata,512,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd m.2 nvme,ssdhsfutlit512,hiksemi,"unidad de estado solido hiksemi future lite, 512 gb, m.2 2280, gen 4.0 x 4, 6320 mb/s",,0,true,84,,,,,,,,,,,,,,,,,,,,ssd_nvme,512,NVME,M.2,GEN4,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssdhswaves1024,hiksemi,"unidad de estado solido hiksemi hs-ssd wave (s),1024gb, sata iii, 2.5, 550 mb/s",,21,false,136,,,,,,,,,,,,,,,,,,,,ssd_sata,1024,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssdhswaves256,hiksemi,"unidad en estado solido (ssd) hiksemi hs-ssd-wave(s) 256gb, 2.5, sata iii",,21,false,47,,,,,,,,,,,,,,,,,,,,ssd_sata,256,SATA,"2.5""",,,,,,,,,,,,,,
almacenamiento,,ssd 2.5 sata,ssdhswaves512,hiksemi,"unidad en estado solido (ssd) hiksemi hs-ssd-wave(s) 512gb, 2.5, sata iii",,21,false,76,,,,,,,,,,,,,,,,,,,,ssd_sata,512,SATA,"2.5""",,,,,,,,,,,,,,
